source,target
1086,3442
3442,1086
1086,1609
1086,4293
1086,6187
1086,9288
9863,10131
10131,9863
9863,716
716,9863
9863,4241
4241,9863
9863,1802
1802,9863
9863,7837
9863,5666
9863,9181
9181,9863
9863,2395
2395,9863
9863,7744
7744,9863
9863,396
396,9863
9863,4565
4565,9863
9863,3917
3917,9863
4523,716
4523,1649
4523,2010
4523,3811
4523,2723
5252,1012
1012,5252
5252,6075
6075,5252
5252,4992
5252,6897
6897,5252
5252,5067
5067,5252
5252,3681
3681,5252
5252,3373
5252,23
23,5252
5252,7886
7886,5252
5252,2974
2974,5252
5252,11242
11242,5252
5252,5301
5301,5252
5252,4820
4820,5252
5252,6155
6155,5252
5252,6391
6391,5252
5252,4433
4433,5252
6268,6649
6649,6268
6268,5521
6268,7973
7973,6268
6268,6111
6268,132
132,6268
6268,9164
6268,1426
6268,10871
10871,6268
6268,10742
10742,6268
6268,396
396,6268
6268,4565
4565,6268
6268,3917
3917,6268
2842,6389
6890,229
6890,4939
4939,6890
6890,7379
6890,9883
6890,8406
6890,5262
6890,9429
9429,6890
6890,1829
6890,2463
2463,6890
949,4992
949,7837
949,981
949,901
949,123
949,8226
949,1559
1559,949
9767,596
596,9767
9767,10616
10616,9767
9767,10541
10541,9767
9767,2723
9767,10559
10559,9767
9767,9530
9530,9767
9767,3
3,9767
3100,4278
1352,7837
1352,1158
4477,568
4477,7501
4477,6818
4477,166
4477,2723
4477,1560
1560,4477
4477,3535
4477,4602
7729,116
92,85
85,92
92,9376
9376,92
8736,7501
8736,2723
10907,4829
2380,1158
2380,2187
2187,2380
2380,2723
1012,5252
5252,1012
1012,5310
5310,1012
1012,7837
1012,7886
7886,1012
1012,11242
1012,6527
6527,1012
1012,3535
581,4636
4636,581
581,5096
5096,581
581,4207
4207,581
581,8502
8502,581
581,4602
4842,4617
4617,4842
4842,7061
4842,4746
4746,4842
4842,188
4842,2063
4842,6319
6319,4842
4842,5973
5973,4842
4842,5926
5926,4842
4842,3149
4842,9987
9987,4842
4842,9883
4842,2723
4842,4463
4463,4842
4842,5262
5262,4842
4842,6051
6051,4842
7781,7837
7837,7781
7781,4037
7781,7811
7811,7781
5081,7955
7955,5081
5081,364
364,5081
5081,8079
10355,10811
10811,10355
10355,4897
10355,9883
10355,2723
10355,6684
5620,441
5620,2752
5620,10861
10861,5620
5620,8042
5620,5160
5620,173
5620,6755
5620,8232
5620,10903
3940,4139
3940,1840
3940,2227
3940,1777
3940,7837
3940,1529
3940,9595
9595,3940
3940,4622
4622,3940
3940,7501
3940,2685
3940,8151
3940,10541
3940,9451
9451,3940
3940,8967
8967,3940
3940,4253
4253,3940
3940,5887
3940,11242
3940,5533
5533,3940
3940,5387
3940,1931
3940,65
3940,7557
3940,6975
6279,4763
6279,8226
11068,7837
11068,2853
6490,7875
6490,73
73,6490
6490,4446
4446,6490
6490,406
406,6490
6490,8226
8595,8095
8595,5616
8595,9543
8595,6886
6886,8595
8595,8524
8524,8595
8595,7538
7538,8595
8595,8030
8030,8595
8595,5416
8595,159
159,8595
8595,9883
8595,8406
8595,2723
8595,9429
9429,8595
8595,9483
9483,8595
8595,3960
3960,8595
8595,4602
6017,73
6017,5702
6017,5632
6017,487
6017,4473
6017,3149
6017,5134
6017,2723
6017,358
6017,5420
10097,10086
10097,2723
10054,5149
10054,10535
10535,10054
10054,2458
2458,10054
10054,4365
10054,6100
6100,10054
10054,6446
6446,10054
10054,8526
8526,10054
7928,421
7928,7837
7928,364
10414,2960
10414,7837
10414,9757
10792,2723
7875,6722
6722,7875
7875,7538
7875,7432
7432,7875
10613,5773
10613,7616
10613,1158
10613,7889
6791,6746
6746,6791
10446,10849
10446,10448
10446,7837
10446,3822
2403,1601
1601,2403
2403,2466
2403,5909
5909,2403
9272,4867
4867,9272
9272,7837
9272,1539
9272,967
967,9272
7079,7681
7117,2723
7117,5017
5017,7117
39,4868
4868,39
39,1726
1726,39
39,5632
5632,39
39,8507
8507,39
39,5236
5236,39
39,7278
7278,39
39,10971
10971,39
39,4154
4154,39
39,69
69,39
39,5333
5333,39
39,3318
3318,39
39,6267
6267,39
39,0
0,39
39,1885
