id,time
425661,2012-08-02-23:34:10
77743,2012-08-02-23:34:39
497277,2012-08-02-23:34:52
1696580,2012-08-02-23:35:03
467080,2012-08-02-23:36:06
95105,2012-08-02-23:36:22
484195,2012-08-02-23:37:55
550366,2012-08-02-23:39:42
142009,2012-08-02-23:39:44
17372,2012-08-02-23:40:22
409937,2012-08-02-23:41:47
268073,2012-08-02-23:41:58
613880,2012-08-02-23:42:15
306552,2012-08-02-23:44:06
594527,2012-08-02-23:44:31
804227,2012-08-02-23:44:44
463733,2012-08-02-23:46:08
463733,2012-08-02-23:46:08
489743,2012-08-02-23:46:21
1467965,2012-08-02-23:46:47
290229,2012-08-02-23:47:05
1625699,2012-08-02-23:48:32
1625699,2012-08-02-23:48:32
793478,2012-08-02-23:49:22
652497,2012-08-02-23:49:33
623700,2012-08-02-23:51:11
516849,2012-08-02-23:51:33
801037,2012-08-02-23:51:37
23813,2012-08-02-23:52:51
399686,2012-08-02-23:53:02
422664,2012-08-02-23:54:31
715016,2012-08-02-23:54:57
1455289,2012-08-02-23:56:41
659715,2012-08-02-23:57:57
1484850,2012-08-03-00:02:33
1624092,2012-08-03-00:03:46
1624092,2012-08-03-00:03:46
1188261,2012-08-03-00:04:10
927238,2012-08-03-00:04:27
1030089,2012-08-03-00:06:57
1195212,2012-08-03-00:08:55
808954,2012-08-03-00:08:57
1097145,2012-08-03-00:09:42
411360,2012-08-03-00:10:38
4305,2012-08-03-00:11:38
1662411,2012-08-03-00:13:01
832582,2012-08-03-00:13:41
894322,2012-08-03-00:14:56
421580,2012-08-03-00:16:03
489970,2012-08-03-00:16:49
411360,2012-08-03-00:17:27
1545333,2012-08-03-00:21:30
447390,2012-08-03-00:22:55
455737,2012-08-03-00:25:01
1372674,2012-08-03-00:25:03
1231541,2012-08-03-00:26:41
79070,2012-08-03-00:26:42
405056,2012-08-03-00:27:34
1240818,2012-08-03-00:27:35
1223436,2012-08-03-00:29:07
853973,2012-08-03-00:31:41
1705530,2012-08-03-00:31:52
806668,2012-08-03-00:32:11
741824,2012-08-03-00:33:04
1696169,2012-08-03-00:33:41
1580209,2012-08-03-00:33:43
292813,2012-08-03-00:33:54
921377,2012-08-03-00:34:25
457706,2012-08-03-00:34:48
79070,2012-08-03-00:35:21
545503,2012-08-03-00:35:39
457238,2012-08-03-00:36:03
921377,2012-08-03-00:36:06
1372674,2012-08-03-00:36:26
1250425,2012-08-03-00:37:10
238228,2012-08-03-00:40:58
975758,2012-08-03-00:41:18
1472050,2012-08-03-00:42:12
1457231,2012-08-03-00:43:13
591199,2012-08-03-00:43:27
344208,2012-08-03-00:43:30
242555,2012-08-03-00:44:05
280538,2012-08-03-00:44:34
834330,2012-08-03-00:45:15
477250,2012-08-03-00:45:18
565727,2012-08-03-00:45:29
43715,2012-08-03-00:47:32
1052911,2012-08-03-00:47:55
895946,2012-08-03-00:48:38
216618,2012-08-03-00:48:46
280538,2012-08-03-00:49:02
622800,2012-08-03-00:49:10
568611,2012-08-03-00:49:16
237927,2012-08-03-00:49:34
1458257,2012-08-03-00:49:54
1301410,2012-08-03-00:51:05
1185446,2012-08-03-00:51:50
63078,2012-08-03-00:54:32
893012,2012-08-03-00:55:25
535039,2012-08-03-00:55:31
811685,2012-08-03-00:56:40
466607,2012-08-03-00:56:59
466607,2012-08-03-00:56:59
237878,2012-08-03-00:58:15
867367,2012-08-03-01:01:11
493589,2012-08-03-01:01:15
1031383,2012-08-03-01:02:22
673261,2012-08-03-01:03:15
1600201,2012-08-03-01:04:33
895,2012-08-03-01:05:21
291771,2012-08-03-01:10:00
921377,2012-08-03-01:10:51
901135,2012-08-03-01:11:05
249167,2012-08-03-01:11:48
858447,2012-08-03-01:14:18
496089,2012-08-03-01:16:54
495539,2012-08-03-01:17:18
42482,2012-08-03-01:18:29
1145299,2012-08-03-01:20:53
216741,2012-08-03-01:23:03
108764,2012-08-03-01:24:56
455931,2012-08-03-01:25:55
1506176,2012-08-03-01:27:46
295495,2012-08-03-01:28:04
284761,2012-08-03-01:30:51
531360,2012-08-03-01:31:26
84768,2012-08-03-01:35:14
521168,2012-08-03-01:35:25
909620,2012-08-03-01:36:31
935120,2012-08-03-01:37:00
216618,2012-08-03-01:38:18
